username,repo_name,stars,repo_url
babel,babel,40900,https://github.com/babel/babel
nylas,nylas-mail,24700,https://github.com/nylas/nylas-mail
swc-project,swc,22200,https://github.com/swc-project/swc
,kriasoft,21200,https://github.com/kriasoft
,avajs,19800,https://github.com/avajs
,electron-react-boilerplate,19600,https://github.com/electron-react-boilerplate
SimulatedGREG,electron-vue,14900,https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,14400,https://github.com/grab/front-end-guide
jamiebuilds,babel-handbook,10900,https://github.com/jamiebuilds/babel-handbook
,grommet,7900,https://github.com/grommet
developit,htm,7600,https://github.com/developit/htm
angular-fullstack,generator-angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack
,ben-rogerson,5800,https://github.com/ben-rogerson
documentationjs,documentation,5500,https://github.com/documentationjs/documentation
insin,nwb,5500,https://github.com/insin/nwb
egoist,poi,5300,https://github.com/egoist/poi
thinkjs,thinkjs,5300,https://github.com/thinkjs/thinkjs
transitive-bullshit,create-react-library,4700,https://github.com/transitive-bullshit/create-react-library
fkling,astexplorer,4700,https://github.com/fkling/astexplorer
babel,babel-loader,4600,https://github.com/babel/babel-loader
duxianwei520,react,4500,https://github.com/duxianwei520/react
jaredpalmer,backpack,4500,https://github.com/jaredpalmer/backpack
babel,minify,4300,https://github.com/babel/minify
thx,gogocode,3300,https://github.com/thx/gogocode
tleunen,babel-plugin-module-resolver,3200,https://github.com/tleunen/babel-plugin-module-resolver
andywer,webpack-blocks,3000,https://github.com/andywer/webpack-blocks
babel,babel-eslint,3000,https://github.com/babel/babel-eslint
,privatenumber,2900,https://github.com/privatenumber
kunalkapadia,express-mongoose-es6-rest-api,2800,https://github.com/kunalkapadia/express-mongoose-es6-rest-api
Atyantik,react-pwa,2500,https://github.com/Atyantik/react-pwa
