username,repo_name,stars,repo_url
ljianshu,Blog,7100,https://github.com/ljianshu/Blog
developit,unfetch,5300,https://github.com/developit/unfetch
elbywan,wretch,2400,https://github.com/elbywan/wretch
,nette,1500,https://github.com/nette
,webcreate,858,https://github.com/webcreate
opensource-socialnetwork,opensource-socialnetwork,861,https://github.com/opensource-socialnetwork/opensource-socialnetwork
karosLi,KKJSBridge,578,https://github.com/karosLi/KKJSBridge
cferdinandi,atomic,540,https://github.com/cferdinandi/atomic
GoogTech,sms-ssm,504,https://github.com/GoogTech/sms-ssm
englercj,resource-loader,396,https://github.com/englercj/resource-loader
jsGanttImproved,jsgantt-improved,380,https://github.com/jsGanttImproved/jsgantt-improved
,klis87,362,https://github.com/klis87
dashborg,hibiki,416,https://github.com/dashborg/hibiki
loadingio,loading-bar,356,https://github.com/loadingio/loading-bar
yceruto,django-ajax,315,https://github.com/yceruto/django-ajax
trco,django-bootstrap-modal-forms,315,https://github.com/trco/django-bootstrap-modal-forms
tulios,mappersmith,306,https://github.com/tulios/mappersmith
davgothic,AjaxFileUpload,296,https://github.com/davgothic/AjaxFileUpload
anzhihe,Free-Web-Books,292,https://github.com/anzhihe/Free-Web-Books
,donavon,272,https://github.com/donavon
GerryIsWarrior,ajax,265,https://github.com/GerryIsWarrior/ajax
maliangnansheng,bbs-ssm,273,https://github.com/maliangnansheng/bbs-ssm
,kishan0725,258,https://github.com/kishan0725
iranianpep,ajax-live-search,245,https://github.com/iranianpep/ajax-live-search
rnicholus,ajax-form,234,https://github.com/rnicholus/ajax-form
ronffy,axios-tutorial,229,https://github.com/ronffy/axios-tutorial
BosNaufal,vue2-autocomplete,229,https://github.com/BosNaufal/vue2-autocomplete
ember-cli,ember-ajax,218,https://github.com/ember-cli/ember-ajax
Zaid-Ajaj,Fable.Remoting,222,https://github.com/Zaid-Ajaj/Fable.Remoting
,msaad1999,211,https://github.com/msaad1999
